Time;Lizards;Predators;Vegetation;Competitors
0,01;80;0;13;0
0,02;80;0;13;0
0,03;80;0;13;0
0,04;80;0;13;0
0,05;80;0;23;0
0,06;80;0;21;0
0,07;80;0;17;0
0,08;84;0;17;0
0,09;84;0;40;0
0,10;84;0;38;0
0,11;84;0;37;0
0,12;84;0;34;0
0,13;84;0;53;0
0,14;84;0;50;0
0,15;84;0;45;0
0,16;84;0;43;0
0,17;84;0;61;0
0,18;84;0;59;0
0,19;84;0;55;0
0,20;87;0;53;0
0,21;87;0;51;0
0,22;87;0;70;0
0,23;95;0;68;0
0,24;95;0;66;0
0,25;99;0;63;0
0,26;103;0;74;0
0,27;103;0;74;0
0,28;103;0;73;0
0,29;103;0;72;0
0,30;103;0;86;0
0,31;103;0;84;0
0,32;103;0;80;0
0,33;103;0;76;0
0,34;103;0;76;0
0,35;103;0;93;0
0,36;103;0;91;0
0,37;103;0;89;0
0,38;103;0;88;0
0,39;103;0;102;0
0,40;102;0;100;0
0,41;102;0;98;0
0,42;102;0;98;0
0,43;104;0;116;0
0,44;104;0;114;0
0,45;104;0;112;0
0,46;104;0;109;0
0,47;104;0;121;0
0,48;103;0;120;0
0,49;103;0;118;0
0,50;107;0;116;0
0,51;107;0;134;0
0,52;111;0;129;0
0,53;111;0;127;0
0,54;111;0;126;0
0,55;111;0;123;0
0,56;118;0;141;0
0,57;126;0;138;0
0,58;125;0;131;0
0,59;125;0;127;0
0,60;125;0;148;0
0,61;125;0;145;0
0,62;125;0;140;0
0,63;129;0;138;0
0,64;128;0;157;0
0,65;128;0;152;0
0,66;128;0;148;0
0,67;128;0;147;0
0,68;128;0;161;0
0,69;128;0;159;0
0,70;128;0;156;0
0,71;128;0;155;0
0,72;128;0;155;0
0,73;128;0;171;0
0,74;128;0;164;0
0,75;128;0;163;0
0,76;131;0;162;0
0,77;143;0;170;0
0,78;151;0;165;0
0,79;151;0;160;0
0,80;155;0;153;0
0,81;159;0;173;0
0,82;159;0;166;0
0,83;163;0;163;0
0,84;167;0;155;0
0,85;167;0;161;0
0,86;166;0;161;0
0,87;165;0;156;0
0,88;169;0;151;0
0,89;169;0;158;0
0,90;169;0;153;0
0,91;169;0;151;0
0,92;168;0;148;0
0,93;168;0;146;0
0,94;168;0;159;0
0,95;171;0;156;0
0,96;175;0;149;0
0,97;174;0;144;0
0,98;174;0;163;0
0,99;174;0;159;0
1,00;174;0;159;0
1,01;182;0;154;0
1,02;181;0;176;0
1,03;181;0;172;0
1,04;181;0;167;0
1,05;189;0;165;0
1,06;189;0;186;0
1,07;189;0;179;0
1,08;189;0;176;0
1,09;189;0;172;0
1,10;192;0;189;0
1,11;196;0;183;0
1,12;196;0;179;0
1,13;196;0;178;0
1,14;200;0;171;0
1,15;204;0;175;0
1,16;204;0;170;0
1,17;207;0;165;0
1,18;206;0;160;0
1,19;210;0;178;0
1,20;214;0;173;0
1,21;213;0;172;0
1,22;213;0;168;0
1,23;212;0;180;0
1,24;212;0;173;0
1,25;216;0;171;0
1,26;224;0;169;0
1,27;227;0;187;0
1,28;227;0;183;0
1,29;227;0;181;0
1,30;231;0;178;0
1,31;239;0;197;0
1,32;239;0;196;0
1,33;239;0;192;0
1,34;237;0;188;0
1,35;236;0;185;0
1,36;239;0;193;0
1,37;238;0;187;0
1,38;237;0;182;0
1,39;236;0;176;0
1,40;236;0;195;0
1,41;239;0;191;0
1,42;247;0;186;0
1,43;247;0;179;0
1,44;244;0;191;0
1,45;243;0;184;0
1,46;243;0;176;0
1,47;243;0;168;0
1,48;242;0;185;0
1,49;242;0;182;0
1,50;241;0;180;0
1,51;241;0;177;0
1,52;241;0;192;0
1,53;241;0;187;0
1,54;241;0;185;0
1,55;240;0;181;0
1,56;248;0;180;0
1,57;248;0;190;0
1,58;248;0;184;0
1,59;252;0;181;0
1,60;250;0;177;0
1,61;256;0;196;0
1,62;259;0;192;0
1,63;262;0;188;0
1,64;266;0;184;0
1,65;266;0;205;0
1,66;266;0;198;0
1,67;273;0;195;0
1,68;277;0;187;0
1,69;281;0;195;0
1,70;285;0;188;0
1,71;289;0;181;0
1,72;289;0;171;0
1,73;293;0;188;0
1,74;293;0;183;0
1,75;297;0;179;0
1,76;295;0;173;0
1,77;299;0;165;0
1,78;299;0;180;0
1,79;302;0;176;0
1,80;301;0;173;0
